Date,Cash,Credit,Total,Date,Checker,Actual_total
06/27/11,1670,863.57,2533.57,Monday,TRUE,2533.57
06/28/11,1760,1073.78,2833.78,Tuesday,TRUE,2833.78
06/29/11,1940,1411.45,3351.45,Wednesday,TRUE,3351.45
06/30/11,1930,829.16,2759.16,Thursday,TRUE,2759.16
07/01/11,2815,1536.57,4351.57,Friday,TRUE,4351.57
07/02/11,3280,2207.53,5487.53,Saturday,TRUE,5487.53
07/03/11,5200,2010.23,7210.23,Sunday,TRUE,7210.23
07/04/11,1928,988.34,2916.34,Monday,TRUE,2916.34
07/05/11,2050,817.12,2867.12,Tuesday,TRUE,2867.12
07/06/11,2240,872.51,3112.51,Wednesday,TRUE,3112.51
07/07/11,2585,748.19,3333.19,Thursday,TRUE,3333.19
07/08/11,2350,963.57,3313.57,Friday,TRUE,3313.57
07/09/11,3845,1761.67,5606.67,Saturday,TRUE,5606.67
07/10/11,5472,1993.88,7465.88,Sunday,TRUE,7465.88
07/11/11,1900,885.56,2785.56,Monday,TRUE,2785.56
07/12/11,1920,827.35,2747.35,Tuesday,TRUE,2747.35
07/13/11,2845,1030.04,3875.04,Wednesday,TRUE,3875.04
07/14/11,2085,921.98,3006.98,Thursday,TRUE,3006.98
07/15/11,2563,1316.4,3879.4,Friday,TRUE,3879.4
07/16/11,3737,1241.73,4978.73,Saturday,TRUE,4978.73
07/17/11,6170,2557.26,8727.26,Sunday,TRUE,8727.26
07/18/11,2433,694.83,3127.83,Monday,TRUE,3127.83
07/19/11,2220,980.29,3200.29,Tuesday,TRUE,3200.29
07/20/11,2590,1181.81,3771.81,Wednesday,TRUE,3771.81
07/21/11,2935,1176.86,4111.86,Thursday,TRUE,4111.86
07/22/11,2800,1259.19,4059.19,Friday,TRUE,4059.19
07/23/11,3710,1729.26,5439.26,Saturday,TRUE,5439.26
07/24/11,5400,2987.45,8387.45,Sunday,TRUE,8387.45
07/25/11,2070,963.84,3033.84,Monday,TRUE,3033.84
07/26/11,2060,902.2,2962.2,Tuesday,TRUE,2962.2
07/27/11,2385,1018.35,3403.35,Wednesday,TRUE,3403.35
07/28/11,2141,1104.16,3245.16,Thursday,TRUE,3245.16
07/29/11,2765,1540.01,4305.01,Friday,TRUE,4305.01
